9.819810578908821919e-01,3.389989575675342870e-01
9.512224712135975979e-01,1.837021148383798097e-01
5.573902308589535615e-01,6.947706928988599540e-01
1.660548945828756728e-01,5.366927681097766190e-01
4.492917563942397940e-01,3.522229715706690079e-03
1.769651750904724652e-01,7.728076485983336186e-01
3.854325754146739058e-01,8.132514104634835927e-01
9.029533571588846952e-01,4.030378073313837795e-01
5.785747826364735502e-01,2.274578436271574439e-02
8.975336136606858473e-01,5.102067361525157718e-01
2.508636051515716336e-01,9.383612871297499769e-01
4.257634557661069685e-01,6.838751518158148190e-01
1.061116964097081450e+00,5.146473251853889846e-02
6.458452395295178894e-01,5.825675420107556679e-01
5.499382797131496803e-01,1.886375113643923851e-01
4.594594101014586318e-01,4.832486245131524805e-01
4.547736953799107473e-01,5.538180013003548563e-01
9.832264611603983573e-01,2.071374471291185237e-01
6.507654924584551637e-01,9.954303059321421010e-01
1.484971749461094781e-01,2.276480041582049640e-01
3.478089205808926332e-01,1.328051224885132831e-01
4.673061784204405322e-01,5.470482062276404989e-04
3.901701995102492271e-01,6.039470191860265569e-01
5.878633792575900241e-01,6.748283469364715348e-01
5.232066848681296012e-01,3.024272869975030975e-01
